Item Name,Description,Category,Vendor,SKU,Internal Code,Unit of Measure,Pack Size,Cost per Unit,Reorder Threshold,Max Par Level,Lead Time (days),Product Image URL,Review Flag
Air Walker/X-Large,,Sale Items,DJ Ortho,,SIA403,each,1,,2,4,7,,
"Air Traveler Ankle Walker, X-Small",,Sale Items,McKesson,482772,SI A440,each,1,,2,4,7,,
"Air Traveler Ankle Walker, Medium",,Sale Items,McKesson,482774,SI A442,each,1,,4,10,7,,
"Air Traveler Ankle Walker,Large",,Sale Items,McKesson,482775,SI A443,each,1,,4,10,7,,
"Air Traveler Ankle Walker, X-Large",,Sale Items,McKesson,482776,SI A444,each,1,,2,5,7,,
Ankle Sprain Kt/Sm/Left,,Sale Items,DJ Ortho,,SI A600,each,1,,0,0,7,,
Ankle Sprain Kt/Sm/Right,,Sale Items,DJ Ortho,,SI A601,each,1,,0,0,7,,
"Ankle Sprain Brace, Standard, Left",,Sale Items,DJ Ortho,,SI A602,each,1,,4,15,7,,
"Ankle Sprain Brace, Standard, Right",,Sale Items,DJ Ortho,,SI A603,each,1,,4,15,7,,
"Envelope Sling, Medium",,Sale Items,McKesson,410175,SI A750,each,1,,5,12,7,,
"Envelope Sling, Large",,Sale Items,McKesson,380619,SI A751,each,1,,2,5,7,,
"Strap Sling, Large",,Sale Items,McKesson,989413,SI A752,each,1,,0,1,7,,
Basin,,Sale Items,McKesson,199095,SI B500,each,1,,0,1,7,,
Cane,,Sale Items,McKesson,762919,SI C010,each,1,,0,6,7,,
"Crutches, Youth",,Sale Items,McKesson,1065233,SIC045,pair,1,,0,8,7,,
"Crutches, Medium",,Sale Items,McKesson,1065294,SIC050,case,8,,0,8,7,,
"Crutches, Large",,Sale Items,McKesson,1065231,SIC055,case,8,,0,8,7,,
Hot/Cold Compress,,Sale Items,McKesson,365653,SIC500,each,1,,72,120,7,,
"Ace Wrap, 2""",,Sale Items,McKesson,500543,SI D300,each,1,,0,10,7,,
"Ace Wrap, 3"" Velcro Closure",,Sale Items,McKesson,500544,SI D301,each,1,,10,30,7,,
"Ace Wrap, 4"" Velcro Closure",,Sale Items,McKesson,500545,SI D302,each,1,,10,40,7,,
"Ace Wrap, 6"" Non-Velcro Closure",,Sale Items,McKesson,488157,SI D303,each,1,,2,12,7,,
"Adaptic, 3X3 (4 pkgs)",,Sale Items,McKesson,4633,SI D400,pack,4,,5,17,7,,
"Coban 2""",,Sale Items,McKesson,172312,SI D501,each,1,,10,30,7,,Duplicate item name
"Kling, 2""",,Sale Items,McKesson,999367,SI D600,each,1,,12,24,7,,
"Kling, 3""",,Sale Items,McKesson,188587,SI D601,each,1,,12,48,7,,
"Gauze, Sterile, 2X2 (10 pkgs Of Two)",,Sale Items,McKesson,"575163, 635942",SI D700,pack,10,,0,10,7,,
"Gauze, Sterile, 3X4 (10 pkgs Of Two Sponges)",,Sale Items,McKesson,688661,SI D701,pack,10,,6,21,7,,
"Gauze, Sterile, 4X4 (10 pkgs Of Two)",,Sale Items,McKesson,688659,SI D702,pack,10,,6,15,7,,
"Telfa Island Dressing 4""X5""",,Sale Items,McKesson,314019,SI D710,pack,10,,2,20,7,,
"Telfa Non-Adherent Dressing 3""X4""",,Sale Items,McKesson,9973,SI D712,pack,10,,4,10,7,,
"Finger Cage, Lined",,Sale Items,Zimmer,,SI F110,each,1,,0,12,7,,
Gutter Finger Splint W/2 Straps,,Sale Items,Sammons Preston,A5802,SI F120,each,1,,0,0,7,,
"Gutter Splint Straps, Blue",,Sale Items,Sammons Preston,A58002,SI F120A,pack,6,,0,1,7,,
Stax Finger Splint Sz 3,,Sale Items,McKesson,,SI F210,each,1,,,,7,,Special order / nursing to order; Par/max says AS NEEDED; Duplicate internal code
Stax Finger Splint Sz 5,,Sale Items,McKesson,,SI F210,each,1,,,,7,,Special order / nursing to order; Par/max says AS NEEDED; Duplicate internal code
Stax Finger Splint Sz 6,,Sale Items,McKesson,,SI F210,each,1,,,,7,,Special order / nursing to order; Par/max says AS NEEDED; Duplicate internal code
Stax Finger Splint Sz 7,,Sale Items,McKesson,,SI F210,each,1,,,,7,,Special order / nursing to order; Par/max says AS NEEDED; Duplicate internal code
Stax Finger Strap,,Sale Items,McKesson,,SI F210,each,1,,,,7,,Special order / nursing to order; Par/max says AS NEEDED; Duplicate internal code
"Foot Support, Wmn7/Mn5-6",,Sale Items,Tri-Hawk,,SI F400,pair,1,,0,1,7,,
"Foot Support, Wm8-9/Mn7",,Sale Items,Tri-Hawk,,SI F401,pair,1,,0,1,7,,
"Foot Support, Wm10/Mn8-9",,Sale Items,Tri-Hawk,,SI F402,pair,1,,0,1,7,,
"Foot Support, Wmn11/Mn10",,Sale Items,Tri-Hawk,,SI F403,pair,1,,0,1,7,,
"Adjustable Heel Lift, Small",,Sale Items,Alimed,60404 S,SI F605,each,1,,1,3,7,,
"Adjustable Heel Lift, Medium",,Sale Items,Alimed,60404 M,SI F606,each,1,,1,3,7,,
"Adjustable Heel Lift, Large",,Sale Items,Alimed,60404 L,SI F607,each,1,,1,3,7,,
Insole Powerstep F 8-8.5/M 6-6.5,,Sale Items,McKesson,682660,SIF 620,pair,1,,2,5,7,,
Insole Powerstep F 9-9.5/M 7-7.5,,Sale Items,McKesson,682661,SIF 621,pair,1,,2,5,7,,
Insole Powerstep F10-10.5/M 8-8.5,,Sale Items,McKesson,682662,SIF 622,pair,1,,2,5,7,,
Insole Powerstep F 12-12.5/M 10-10.5,,Sale Items,McKesson,682664,SIF 623,pair,1,,2,5,7,,
Insole Powerstep F 13-13.5/M 11-11.5,,Sale Items,McKesson,682665,SIF 624,pair,1,,2,5,7,,
Insole Powerstep F 6-6.5/M 4-4.5,,Sale Items,McKesson,852938,SIF 625,pair,1,,2,5,7,,
Insole Powerstep F 7-7.5/M 5-5.5,,Sale Items,McKesson,541444,SIF 626,pair,1,,2,5,7,,
Insole Powerstep F 11-11.5/M 9-9.5,,Sale Items,McKesson,884094,SIF 627,pair,1,,2,5,7,,
Insole Powerstep M 12 - 13,,Sale Items,McKesson,682666,SIF 628,pair,1,,2,5,7,,
"Post-Op Shoe, Men, Small",,Sale Items,McKesson,712100,SI F700,each,1,,1,3,7,,
"Post-Op Shoe, Men, Medium",,Sale Items,McKesson,712101,SI F701,each,1,,2,4,7,,
"Post-Op Shoe, Men, X-Large",,Sale Items,McKesson,712103,SI F703,each,1,,2,4,7,,
"Post-Op Shoe, Women, Small",,Sale Items,McKesson,712105,SI F750,each,1,,2,4,7,,
"Post-Op Shoe, Women, Medium",,Sale Items,McKesson,712106,SI F751,each,1,,2,4,7,,
"Post-Op Shoe, Women, Large",,Sale Items,McKesson,712107,SI F752,each,1,,2,4,7,,
"Mason-Allen, Large",,Sale Items,McKesson,381617,SI H301,each,1,,1,2,7,,
Invalid Ring,,Sale Items,McKesson,650198,SI I200,each,1,,2,4,7,,
